EventoId,Categoria,Valor,Fecha,EsAltoValor,ImpuestoAplicado
2212299,Compra,24110.345552297153,2027-2-28,False,True
485890,Visualizacion,61350.43547923879,2027-11-4,False,False
2050032,Apartado,58173.22916002374,2028-3-16,False,False
2319345,Seguimiento,46148.33626661158,2026-7-15,False,False
8380963,Compra,49285.70244211459,2027-6-11,False,True
6477687,Seguimiento,35665.280965939135,2027-8-23,False,False
3517718,Seguimiento,36141.62554914382,2027-8-15,False,False
5117782,Compra,13081.056239380827,2027-8-1,False,True
1549604,Visualizacion,57002.55963891324,2027-4-30,False,False
983379,Devolucion,41798.12543141655,2027-3-17,False,False
8795708,Devolucion,63461.50553517707,2026-10-30,False,False
2762307,Compra,68712.71361693028,2027-6-18,False,True
6647245,Visualizacion,20413.41451999188,2027-5-22,False,False
8653993,Apartado,25765.66199352928,2026-8-17,False,False
5726256,Devolucion,53399.379281557005,2026-5-6,False,False
2402450,Apartado,5335.82939087853,2026-9-20,False,False
8959488,Compra,72439.68884864461,2028-2-11,False,True
3607202,Devolucion,73998.5311536457,2027-3-28,False,False
1125398,Seguimiento,66487.66090059467,2028-1-20,False,False
8223392,Seguimiento,26586.059704904736,2026-10-30,False,False
6879249,Seguimiento,74295.29492026853,2027-5-10,False,False
5997094,Apartado,14619.150735408737,2027-5-6,False,False
7665751,Apartado,14346.56950807333,2027-7-6,False,False
3160123,Visualizacion,39672.21341266679,2028-4-11,False,False
8616552,Visualizacion,47331.20256608272,2026-6-9,False,False
208823,Apartado,54999.36434386464,2027-11-19,False,False
5036941,Compra,44612.21378712913,2027-4-24,False,True
5922531,Apartado,35817.99595409518,2028-4-16,False,False
3745992,Compra,81106.30920642699,2026-9-22,False,True
6355645,Devolucion,56996.06043228932,2027-6-4,False,False
8187912,Devolucion,49589.84937584122,2027-1-31,False,False
8201357,Devolucion,52171.76282960995,2028-3-21,False,False
4860002,Devolucion,1526.0690585460293,2028-4-4,False,False
3986135,Apartado,51216.84037866406,2026-12-24,False,False
7174743,Apartado,26264.796914708048,2027-3-11,False,False
8939557,Compra,27239.033759673614,2027-4-4,False,False
3509938,Seguimiento,14086.721621948413,2026-6-18,False,False
3557002,Apartado,22331.387968871702,2028-1-9,False,False
2320148,Seguimiento,37708.60599714775,2027-1-4,False,False
838360,Compra,10975.417508312237,2026-10-28,False,False
